Food code,Start date,End date,Seq num,SR code,SR description,Amount,Measure,Portion code,Retention code,Flag,Weight
71103110,01-Jan-13,31-Dec-14,1,11365,"Potatoes, boiled, cooked in skin, flesh, without salt",2,,62389,0,0,156
71103110,01-Jan-13,31-Dec-14,2,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71103120,01-Jan-13,31-Dec-14,1,11365,"Potatoes, boiled, cooked in skin, flesh, without salt",2,,62389,0,0,156
71103120,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71103120,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71103200,01-Jan-13,31-Dec-14,1,43311,"Potatoes, canned, drained solids, no salt added",1,,10205,3379,0,180
71103200,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71103210,01-Jan-13,31-Dec-14,1,43311,"Potatoes, canned, drained solids, no salt added",100,GM,0,3379,0,100
71103220,01-Jan-13,31-Dec-14,1,43311,"Potatoes, canned, drained solids, no salt added",1,C,10205,3379,0,180
71103220,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71104000,01-Jan-13,31-Dec-14,1,11352,"Potatoes, flesh and skin, raw",454,GM,0,3301,0,454
71104000,01-Jan-13,31-Dec-14,2,82101000,"Vegetable oil, NFS",2,TB,10205,0,4,27.25
71104000,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.4,TS,10205,0,5,2.4
71104010,01-Jan-13,31-Dec-14,1,11352,"Potatoes, flesh and skin, raw",454,GM,0,3301,0,454
71104010,01-Jan-13,31-Dec-14,2,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71104020,01-Jan-13,31-Dec-14,1,11352,"Potatoes, flesh and skin, raw",454,GM,0,3301,0,454
71104020,01-Jan-13,31-Dec-14,2,82101000,"Vegetable oil, NFS",2,TB,10205,0,4,27.25
71104020,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.4,TS,10205,0,5,2.4
71106000,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",1,LB,0,0,0,453.6
71106000,01-Jan-13,31-Dec-14,2,74410110,Puerto Rican seasoning with ham,5,TB,10205,0,0,75
